name,blurb,location,url,tags,status
4160 Tuesdays â€“ Perfume Making with Sarah McCartney,"In a scent-laced studio in Acton, the perfumer Sarah McCartney invites you into her fragrant world. Blend citrus with memory, amber with desire, and leave with a vial stitched from story. This is scent as self-expression, distilled and stirred â€” an olfactory adventure for the curious nose.",Acton,https://www.4160tuesdays.com,,Active
58 and Co â€” Gin School Experience,"In a copper-lit haven in Haggerston, the botanicals wait. Juniper, cardamom, citrus peel â€” each a memory, each a promise. At 58 and Co, you craft not just gin, but story: choosing your blend, distilling on gleaming stills, sealing your own bottle with wax and wonder. There's laughter in the air and cocktail on the tongue â€” a heady blend of chemistry, history, and the quiet art of becoming spirit.",Haggerston (E8),https://58gin.com/pages/gin-school-experience,,Active
5Rhythms 'FIVE London' Workshop,"Three days. Five rhythms. One unfolding wave. In the sacred space of St Lukeâ€™s, dancers ride the arc of flow and stillness, chaos and grace. Itâ€™s less a class, more a rite â€” where movement becomes mirror and the body remembers what it means to be free.","St Lukeâ€™s Church, Hillmarton Road, London N7 9RE",https://www.5rhythms.com/workshops/FIVELondon-295203,,Active
5Rhythms Dance – We Dance with Nikki Ashley,"Movement here is map and mystery. On the worn wooden floor of St Peter’s Church Hall, bodies unspool into rhythm: flowing, staccato, chaos, lyrical, stillness. You’re not learning to dance — you’re remembering how to listen, how to move through the storm and into the centre of your own breath.",Balham,https://bookwhen.com/unboundmovingarts#focus=ev-s4lo-20251217191000,,Active
Ace Cafe London,"The world's most famous motor cafÃ©, where petrol-fumed heritage meets rock 'n' roll nights, ride-outs, and rebellious spirit since 1938.",North West London,https://london.acecafe.com/,,Active
ActOne Cinema,"A community-run cinema in a former library, co-run by Rio Cinema, championing independent films and filmmaker events.",Acton,https://actonecinema.co.uk,,Active
After-Work Foraging Sessions â€“ Charlotte Gordon Urban Forager,"Beneath Kingâ€™s Crossâ€™s glass towers, The Story Garden blooms in quiet rebellion. Charlotte Gordon guides dusk-hour wanderers through herbs, edible weeds, and fragrant finds. These twilight sessions are more than botanical lessons â€” theyâ€™re a return to knowing what grows beneath your feet, even in the heart of the city.","The Story Garden, Kingâ€™s Cross",https://www.charlottegordonforager.com/events,,Active
Akila Pole Studio,"In Brixtonâ€™s warm-lit studio, poles become partners in flight and strength. Akila Pole Studio welcomes every body â€” each spin a reclaiming, each climb a celebration. This isnâ€™t performance for others, but presence for the self. Here, sensuality is carved in sweat and joy, held in community arms.",Brixton,https://www.akilapolestudio.com/,,Active
Arcadia Games,"By day, a coworking space for laptop warriors. By night, a realm of hosted campaigns and skilled Games Masters. Arcadia — founded and run by women — offers sound-proofed rooms, themed tables, and a Safety Charter that centers neurodiversity and consent. Here, the dice are kind and the storytelling fierce. A haven for London's tabletop faithful, where D&D is sacrament and community is code.",The Strand,https://www.arcadiagames.co.uk/,,Active
Art Play London â€“ Paper-Making Craft Class,"At Art Play London, torn pages and yesterdayâ€™s stories find new life. In studios scented with dried lavender and pulp, hands plunge into petals and pigments. Paper is born anew â€” rough-edged, flower-flecked, tender as memory. It's recycling as ritual, the alchemy of old into beauty again.",Shoreditch,https://artplaylondon.com,,Active
ArtHouse Crouch End,"A former Salvation Army hall mixing film, fine art, live music, and theatre, tearing down perceived walls between genres to celebrate diversity.",Crouch End,https://www.arthousecrouchend.co.uk,,Active
artsdepot,,Finchley,https://www.artsdepot.co.uk/,,Active
Asylum Chapel,,Peckham,https://asylumchapel.co.uk/,,Active
Authentic Movement Workshops – Katsura Isobe,"Held in sacred silence, these workshops are a devotion to the unseen. One body moves, eyes closed; another witnesses, holding space like still water. After, marks are made on paper — the echo of movement, felt and remembered. It is not therapy, but something older, something soft and bone-deep.",Chisenhale Dance Space,https://katsuraisobe.net/workshops/authentic-movement/,,Active
Autograph,,Rivington Place,https://autograph.org.uk,,Active
Bad Moon Café,"Wargaming wonderlands carved from foam and fire — this café sculpts epic from every skirmish, serving strategy with a shot of espresso and the scent of fresh terrain.",Elephant & Castle,https://www.badmooncafe.co.uk/,,Active
Battersea Arts Centre,"The go-to place for boundary-pushing theatre, harnessing art and collective imagination to build a more inclusive, sustainable future.",Battersea,https://bac.org.uk,,Active
BAW Dance,"In mirrored rooms across the city, hips sway and laughter spills. BAW Dance welcomes women and non-binary folk to twirl, shimmy, and ground themselves in sensual joy. With floorwork, belly dance, and burlesque, itâ€™s a gathering of softness and strength â€” movement as reclamation, community, and play.",Farringdon,https://www.bawdance.com/book-online,,Active
Bernie Grant Arts Centre,"A Black, female, and queer-led multi-artform venue giving Black-led work space and status to thrive, committed to intersectional practice and community engagement.",Tottenham,https://www.berniegrantcentre.co.uk,,Active
Bethnal Green Working Men's Club,"An East End institution hosting wild, unhinged nights from racy cabaret to drag shows, a vital community hub with a safe-space policy.",Bethnal Green,https://www.workersplaytime.net,,Active
Bill Murray,,Islington,https://www.angelcomedy.co.uk/our-venues/the-bill-murray/,,Active
Blue Elephant Theatre,"A quirky oasis nurturing experimental work and emerging artists, where movement and story intertwine in intimate, risk-taking performances.",Camberwell,https://blueelephanttheatre.co.uk,,Active
Blythe Hill Tavern,"A CAMRA award-winning Victorian corner pub where Thursday nights bloom with traditional Irish music, roaring fires, and real ale.",Catford,https://www.blythehilltavern.org.uk,,Active
Body Love Sketch Club,"At Body Love Sketch Club, bodies bloom across paper like laughter â€” bold, soft, joyful. In a room where every curve is sacred and consent is the cornerstone, you can pose or draw, clothed or not, free of shame. Itâ€™s life drawing as liberation â€” with glitter, wit, and warmth.",New Cross,https://www.bodylovesketchclub.com/,,Active
Boneyard London â€“ Introduction to Blacksmithing,"The forge flares in Tottenham Hale, where steel sings under the hammerâ€™s rhythm. At Boneyard, beginners are guided through sparks and soot to forge hooks and bottle openers with their own heat and hands. This is metal as muscle, fire as teacher â€” a raw, glorious introduction to the craft.",Tottenham,https://boneyardlondon.com,,Active
BookBar,"BookBar is where books flirt and glasses clink. Shelves curve into laughter, and authors share stories like secrets over red wine. From Read Dating to festive salons, each event feels like a literary soirée where strangers become plot twists in each other’s tales. Come for the prose, stay for the conversation that spills into night.",Highbury,bookbaruk.com/events,,Active
BrewBox London â€“ Home Brewing Workshop,"Tucked in Walthamstowâ€™s backstreets, BrewBox brews more than beer â€” it brews kinship. In this homebrewing workshop, malt and mash become metaphors, hops are history, and every bottle carries a whisper of the brewerâ€™s hands. Itâ€™s science stirred with folklore, and a fizz of belonging you wonâ€™t find on supermarket shelves.",Walthamstow (E17),https://brewbox.london/pages/workshops,,Active
BrewDog Outpost Tower Hill â€“ Beer School,"In the heart of Tower Hill, beneath the glint of steel and stone, BrewDogâ€™s Outpost opens its doors to seekers of hops and stories. Beer School here is no dry lecture â€” itâ€™s frothy lore, malty memory, and the quiet thrill of brewing science shared over pints and laughter. Come for the learning, stay for the layered pours and rising cheer.",Tower Hill (EC3),https://www.brewdog.com/uk/locations/outpost-tower-hill,,Active
Brompton Bats â€“ Twilight Bat Survey Walk,"As dusk folds into the stone paths of Brompton Cemetery, the air pricks with inaudible echoes. Bat detectors pulse with hidden life as pipistrelles swoop between headstones. The living and the long-gone share space here â€” beneath yew, under stars â€” in this quiet communion of wing and watch.",Kensington,https://www.royalparks.org.uk/whats-on/brompton-bats-surveying-walk-autumn-Sept-2025,,Active
Brutalist Tour â€“ Evening Architectural Walk (Architectour Guide),"Concrete glows beneath amber streetlight on this moody meander through Londonâ€™s Brutalist bones. From the monolith of the National Theatre to Trellick Towerâ€™s proud defiance, this tour speaks in right angles and raw material. It's a pilgrimage for lovers of line and shadow, of honesty and heft.",Hampstead,https://architectourguide.com/products/brutalist-tour,,Active
Bush Hall,"A restored Edwardian ballroom where chandeliers still remember 1904, hosting rising musicians and comedians beneath high ceilings that make every note linger.",Shepherd's Bush,https://bushhallmusic.co.uk/,,Active
Bush Theatre,"An internationally renowned champion of playwrights, where new writing crackles with activist spirit and salon-style conversation.",Shepherd's Bush,https://www.bushtheatre.co.uk/,,Active
Café OTO,"Café OTO lives in the pause between one note and the next. A soft-lit refuge for the sonically strange, it offers sanctuary to sounds no one else dares cradle — free-jazz, drone, improvised everything. You might sip tea in a hush of reverence, or share glances over dark beer and starlit discord. Dalston’s breath grows quiet here, listening.",Dalston (Hackney),https://cafeoto.co.uk,,Active
Camden Art Centre â€“ Natural Dyes Workshop,"In a sunlit room above Camden, onion skins and tea leaves bloom into colour. Guided by the gentle hand of the artist, this workshop leads you into the alchemy of kitchen waste turned into wearable art. Itâ€™s the slow science of hue, a celebration of compost and cotton and care.","271 Dale Avenue, London NW3 6DG",https://camdenartscentre.org,,Active
Camden People's Theatre,"A small, independent venue championing emerging artists and boundary-pushing contemporary performance, making space for tomorrow's theatre-makers.",Camden,https://cptheatre.co.uk/,,Active
Cecil Sharp House,"The world-class folk arts centre, home to the English Folk Dance and Song Society, championing folk heritage since 1930.",Camden,https://www.efdss.org/,,Active
Chats Palace,"In the bones of an old library, revolution still hums. Chats Palace is where East London gathers to dance, dream, and defy. Drag cabaret collides with Balkan brass, children twirl at matinees, and the ghosts of squatters smile from the balcony. The bar spills onto a terrace lit with laughter. This isn’t just a venue — it’s a living archive of joy.",Homerton (Hackney),chatspalace.com,,Active
Chickenshed Theatre,,Southgate,https://www.chickenshed.org.uk,,Active
Circle of Trees – Environmental Arts Therapy UK,"Out in the woods, beneath ash and elder, circles form. Here the land becomes your mirror. With rituals, seasonal rites, and deep imaginal play, you’re invited to meet yourself through tree, stone, and story. A wild, grounded space for healing in kinship with the more-than-human world.","Queens Wood, Highgate",https://www.environmentalartstherapyuk.co.uk/,,Active
CLF Art CafÃ©,"A multi-floor creative arts centre hosting everything from Bestival parties to South London Soul Train, spanning house, funk, jazz, and beyond.",Peckham,https://www.clfartcafe.org,,Active
CLF Art Lounge & Pop-Up,"CLF is a pulse in human form — improvising, adapting, always playing. In its pop-up incarnation, the Lounge still throws the best kind of chaos: DJ decks spun till midnight, Latin bands blazing on a weeknight, and open mic nights where poets and drummers share the same stage. It smells like citrus and sweat. It tastes like rhythm.",Peckham (Southwark),clfartlounge.com/event‑list,,Active
CLF Art Lounge & Roof Garden,"A rooftop dreamscape above Peckham, where jazz floats through the night air and the city unfolds beneath fairy lights.",Peckham,https://www.clfartlounge.com,,Active
Colour Factory,,Hackney Wick,https://colourfactory.com,,Active
Colour House Theatre,"A Grade II-listed building hosting weekend children's shows and monthly blues club nights, a small-scale community arts hub.",Merton,https://www.colourhouseblues.co.uk/,,Active
Conway Hall,"A Grade II listed hall from 1929 housing the largest humanist research library, curating talks and concerts promoting ethical living.",Holborn,https://conwayhall.org.uk,,Active
Cordon Bleu London â€“ Culinary Short Courses,"In a historic townhouse off Marylebone Lane, Cordon Bleuâ€™s short courses unfold with ceremony and steel. Here, the chop of blade and hush of butter on heat are acts of reverence. Classic sauces, delicate pastries, French precision â€” itâ€™s culinary ballet in white coats and quiet fire. For those who hunger not just to eat, but to *know*.",Marylebone (W1),https://www.cordonbleu.edu/london/short-courses/en,,Active
Corner New Cross,"An LGBTQIA+-led neighbourhood coffee shop, cocktail bar, and art gallery where inclusive ethos meets rotating artwork and community warmth.",New Cross,https://www.cornernewcross.com/,,Active
Cubitt Artists,"Cubitt is a stitched-together constellation — studios, gallery, gathering ground. Here, artists teach each other how to live. Zines are made beside prints, queer anthologies are launched with reverence, and every wall is a question. It is both quiet and defiant, tender and revolutionary. Art here is less object than encounter — a shared breath in Angel Mews.",Islington (Angel Mews),cubittartists.org.uk,,Active
Culinary Anthropologist â€“ Charcuterie Masterclass,"In a North London kitchen kissed by spice and study, the Culinary Anthropologist teaches preservation like poetry. Pork becomes prosciutto, time is measured in cure and air, and salt holds centuries of secrets. This is meatcraft as memoir, a masterclass in transformation, where knife and knowledge meet with reverence.",Highbury (N5),https://www.culinaryanthropologist.org/classes/charcuterie-masterclass/,,Active
Dino Snores for Grown Ups â€“ Natural History Museum Sleepover,"The whale looms above your sleeping bag, vast and serene. At Dino Snores, adults take over the museum: dinner beneath dinosaur bones, science shows, silent disco, a movie marathon, and sleep among ancient beasts. The building hushes at midnight, and in that hush â€” wonder stirs.",Kensington,https://www.nhm.ac.uk/events/dino-snores-for-grown-ups.html,,Active
Draughts – Board Game Café,"A game-slick hideaway where minds meet over meeples and the candlelight of strategy. From the roar of Waterloo to Hackney’s hum, the tables are alive with laughter, rules, and rebellion.",Hackney,https://www.draughtslondon.com/,,Active
Dusty Knuckle Bakery â€“ Fermentation Workshop,"Dalstonâ€™s Dusty Knuckle, all flour-dust and firelight, opens its arms to the fermentation faithful. Here, Clare teaches the old art with modern laughter â€” kimchi that kicks, lemons softened by salt, jars cradled like secrets. Bread is broken, beers are poured, and the sour tang of learning lingers sweetly on the tongue. A place where bacteria bloom and strangers bond.",Dalston,https://www.eventbrite.co.uk/e/fermentation-workshop-tickets-1111627410509,,Active
EartH,"A refurbished 1930s cinema with three spaces hosting eclectic, vibrant programming from leading and emerging artists.",Dalston,https://earthackney.co.uk,,Active
East London Strippers Collective Life Drawing,"Here, the pole is both pedestal and paintbrush. Strippers pose in motion, limbs inked in shadow and steel. You sketch with reverence and riot alike â€” celebrating sex work as art, as performance, as power. The East London Strippers Collective turns life drawing into a love letter to autonomy.",Shoreditch,https://www.outsavvy.com/event/29977/life-drawing-with-the-east-london-strippers-collective,,Active
Eco-Somatic Movement Workshops – Katsura Isobe,"This is movement born of leaf and sky. Guided by the cycles of the land, these sessions weave body, breath, and season. You’ll stretch like willow, root like oak, listen like rain. Eco-somatics here is not performance — it’s a quiet returning to the wisdom beneath your skin.",Chisenhale Dance Space,https://katsuraisobe.net/workshops/ecosomatic-movement/,,Active
Ecstatic Dance London â€“ The Ritual,"No talking. No shoes. No spectators. The Ritual is a full-day immersion where cacao kisses lips, rhythms unspool into trance, and touch is offered with reverence. Held with sacred clarity, this is dance as prayer, as truth, as freedom â€” a sanctuary for the raw, the open, the becoming.",Various London venues (often community halls and studios),https://www.eventbrite.co.uk/e/the-ritual-tantric-trance-dance-conscious-connections-ecstatic-dance-tickets-1835087669619,,Active
Ecstatic Dance UK â€“ Sunday Sessions,"Sunday mornings stretch open at The Baths, where cacao warms the heart and silence wraps the dance floor. No talking. No judgement. Just bodies in motion, following rhythm like a river. Here, movement is medicine and joy is sacred â€” a weekly breath for the spirit through beat and stillness.",Hackney Wick,https://ecstaticdance.org/dance/ecstatic-dance-uk/,,Active
Ecstatic Dance UK – Sun·day Dance,"Barefoot, boundless, and bathed in bass. This isn’t clubbing — it’s communion. Held in a West London dance sanctuary, these Sunday mornings move from stillness to sweat to surrender. You’ll find yourself in the music — raw, luminous, unshamed — moving in a field of joy and deep collective rhythm.",Hackney Wick,https://ecstaticdance.org/dance/ecstatic-dance-uk/,,Active
Finborough Theatre,"A pocket-sized powerhouse above a pub, presenting thought-provoking new writing and neglected masterpieces in a fiercely intimate 50-seat space.",Earl's Court,https://finboroughtheatre.co.uk/,,Active
Forage London â€“ Wild Food & Nature Walk (Tower Hamlets Cemetery Park),"In the hush of a Victorian cemetery, nettles and mushrooms reclaim the ground with quiet confidence. Led by forager Ken Greenway, this walk teaches the secrets of wild plants that hide in plain sight. Past ivy-draped headstones, youâ€™ll meet flavours, folklore, and a green magic thriving among the gravestones.",Tower Hamlets,https://www.foragelondon.co.uk/events/tower-hamlets-cemetery-park-dec-2025,,Active
Forage London â€” Wild Food and Nature Walk (E3),"In the hush of Tower Hamlets Cemetery Park, nature reclaims her place with soft insistence. Here, with Ken Greenway as guide, ivy tangles with knowledge and nettles become teachers. You'll taste the city's wild fringe: bitter leaves, fragrant blooms, mushrooms like secrets. Each step is a slow remembering â€” of hunger, of belonging, of the green abundance beneath the grit.",Tower Hamlets,https://foragelondon.co.uk,,Active
Four Quarters,"Arcade alchemy in three boroughs — where laughter loops through coin-drop echoes, and the neon hum of nostalgia sings beneath every pint.",Hackney Wick,https://www.fourquarters.bar/,,Active
Fox & Firkin,"A sprawling garden hides a restored 1950s train carriage and stages for outdoor revelry, where live music pulses and the night stretches wild.",Lewisham,https://foxfirkin.com,,Active
Freeweaver Studio,"A quiet reverence weaves through Freeweaver Studio. Nestled in London Fields, looms stand ready for thread to sing its slow song. Japanese tools, soft yarns, and deep silence make each session feel like a temple of motion. The weave becomes thought, the shuttle a brush of calm across the loom.","Cordwainers Pop-Up, London Fields (E8)",https://freeweaver.co.uk,,Active
Friends of Nunhead Cemetery â€“ Guided Tours & Bat Sighting Walks,"The ivy knows these names. At Nunhead, the cemetery breathes history and woodland both. By sunset, bats arc above Victorian crypts, their shadows mingling with that of ancient grief. These volunteer-led walks are full of memory and mystery â€” a perfect pairing of natureâ€™s wild return and the city's silent past.",Nunhead,https://www.fonc.org.uk/events,,Active
Gate Theatre,"New voices telling international stories, bringing world-changing theatre to London from a Camden base that champions bold, boundary-crossing work.",Camden,https://www.gatetheatre.co.uk/,,Active
Gather Glass â€“ Glassblowing Classes,"The heat of the furnace draws you in at Gather Glass, where breath and flame shape molten beauty. Blow your own bauble, twist a tumbler into being, or spend the day dancing with fire. This is glass not as ornament but as transformation â€” glowing, spinning, alive in your hands.",Woolwich,https://gather.glass,,Active
Genesis Cinema,"A community-focused cultural hub offering horror marathons, kung-fu nights, feminist zine gatherings, and cult classics on comfy sofas with cocktails.",Bethnal Green,https://www.genesiscinema.co.uk,,Active
George IV Boston Room,"Monthly jazz nights in an intimate pub room, where high-calibre musicians and regulars gather for Trio Manouche and Jazz Mondays.",Chiswick,https://www.chiswickcalendar.co.uk/george-iv-pub/,,Active
"Ghosts of the Old City â€“ Eldritch, Tenebrous London (London Walks)","Beneath the hum of modern London, shadows curl through alleyways and stories breathe behind the stones. Guided by actors under lamplight, this walk slips through plague pits and lost courtyards, tracing the haunted spine of the Old City. Every whispered tale leaves the air a little colder, the night a little deeper.",City of London,https://www.walks.com/walks/ghosts-of-the-old-city/,,Active
Gia Como â€“ Bespoke Candle Making Workshop,"In a fragrant pocket of Shoreditch, Gia Como lights the wick of your imagination. Blend essential oils into something uniquely yours, pour slow wax into glass, and christen your creation with a name that lingers. Each flame becomes a fingerprint â€” a quiet glow with your story inside.",Shoreditch,https://www.craftcourses.com/courses/candle-making-workshop-create-your-own-signature-scent-with-gia-como,,Active
Graeae Theatre Company,,Dalston,https://graeae.org,,Active
Grand Junction Arms,"A vibrant canal-side pub claiming the biggest beer garden in north London, with seasonal menus and a busy events calendar.",North West London,https://www.grandjunctionarmsnw10.co.uk,,Active
Grimoire Crafting with Hallowed Hollow,"In a quiet studio, parchment meets purpose. Hallowed Hollowâ€™s grimoire workshops invite you to bind your magic by hand â€” stitching leather, ink, and lore into something wholly yours. Itâ€™s not just a book. Itâ€™s a spell held in pages.",South East London,https://hallowedhollow.com/grimoire,,Active
Grove Farm Bat Walk â€“ Ealing Wildlife Group,"Far from the lights of the high street, Grove Farm breathes with quiet wildness. On this twilight walk, bats flicker like shadows between trees, their calls turned audible through detector magic. A torchlight glances off wings, a hush falls, and for a moment, you are entirely within the dusk.","Grove Farm Nature Reserve, Sudbury Hill (meeting point outside Sudbury Hill Tube)",https://www.ealingwildlifegroup.com/post/grove-farm-bat-walk-2025,,Active
Hackney Empire,"A historic variety theatre from 1901 with ornate Victorian architecture, leading eclectic programming from stand-up to opera.",Hackney,https://hackneyempire.co.uk/,,Active
Hackney Herbal â€“ Herbal Wellbeing Masterclasses & Remedies Workshops,"In the plant-laced quiet of Well Street, Hackney Herbal tends the body and spirit alike. Calendula blooms in oil, lip balms stir with lavender, and sprays carry calm in each mist. These sessions are as soft as they are skilled â€” herbalism not just taught, but lived, gently and well.",Hackney,https://www.hackneyherbal.com,,Active
Half Moon Theatre,,Limehouse,https://halfmoon.org.uk,,Active
Hampstead Observatory Public Nights,"At the edge of Hampstead Heath, past rustling leaves and pond-dark stillness, an old telescope tilts toward Saturn. Every Friday and Saturday, stargazers gather in this city-side observatory, watching planets gleam through Victorian glass. It's a quiet, cosmic devotion â€” London looking out, far beyond herself.",Hampstead,https://gostargazing.co.uk/venues/hampstead-observatory/,,Active
Heaven,"Central London's only 1,000-capacity gay club, the focal point of London's gay scene since 1979, hosting G-A-Y and big-name live acts.",Westminster,https://heaven-live.co.uk,,Active
Hen Corner â€” Introduction to Cheese Making,"Tucked in Brentford's gentle sprawl, Sara Ward's garden sings with bees, hens, and the quiet clink of curds forming. At Hen Corner, cheese making is homely magic â€” mozzarella stretched warm, camembert blooming in mould-soft hush. The day is generous: garden tours, homemade lunch, laughter over milk and culture. You'll leave with hands scented of whey, and heart full of old ways made new.",Brentford (TW8),https://hencorner.com/product/cheesemaking/,,Active
Hidden London Tours â€“ London Transport Museum,"Beneath the London you know lies a city preserved in dust and echoes. Hidden London Tours descend into Tube stations long forgotten â€” Aldwychâ€™s tiled hush, Charing Crossâ€™s stillness behind locked gates. Here, the past hasnâ€™t moved. Your footsteps join those of wartime sleepers, ghost commuters, and soot-streaked engineers.",Clapham,https://www.ltmuseum.co.uk/whats-on/hidden-london,,Active
Highgate Cemetery After-Hours Tour (SAVE Britainâ€™s Heritage),"Beyond the iron gates, ivy and angels cradle the stones. By twilight, Highgateâ€™s West Side is opened to a privileged few â€” led past crypts and moss-soft chapels by torchlight and tales. Here, Victorian grief becomes grandeur, and architecture mourns in marble. An after-hours reverence for the gothic sublime.",Highgate,https://www.savebritainsheritage.org/events/an-evening-at-highgate-cemetery-out-of-hours-walking-tour-for-save-supporters,,Active
Hiver Beers â€” Cider Making Workshop,"In Bermondsey's amber archways, apples become alchemy. At Hiver's taproom, you'll chop, crush, and press â€” turning crisp fruit into golden promise. Two bottles of your own cider leave with you, still whispering their slow-fermenting spell. The space hums with warmth, honey, and sticky joy. This is fermentation with fingerprints â€” autumn in a bottle, and a little wildness to keep.",Bermondsey,https://hiverbeers.com/pages/workshops,,Active
Holotropic Breathwork – Experiential Weekend,"This is not breathwork, it’s descent. Over a weekend held in sacred structure, you will breathe into altered states — eyes closed, music loud, the body leading where language ends. It’s intense, profound, alchemical. Held by trained facilitators, the container is strong enough to hold whatever emerges.",Colet House,https://dandelion.events/e/r6zie,,Active
Hootananny Brixton,,Brixton,https://hootanannybrixton.co.uk,,Active
Horniman Museum and Gardens,,Forest Hill,https://www.horniman.ac.uk,,Active
House of Burlesque Academy,"Feathers flare, heels click, and something ancient wakes. At House of Burlesque, you learn more than steps â€” you learn to occupy your body with flair, pride, and glittered joy. Taught by showgirls and stars, this is an academy of unapology: a sequinned homecoming to the stage within.",Covent Garden,https://www.houseofburlesque.co.uk/academy-home,,Active
Hundred Years Gallery,,Hoxton,http://hundredyearsgallery.co.uk,,Active
IKLECTIK Art Lab,"A grassroots Art Lab dedicated to experimental sound and socially engaged practices, holding care, experimentation, and resistance at its core.",Peckham,https://iklectik.org,,Active
Institute of Making (UCL) â€“ Papermaking Course,"In Stratfordâ€™s academic heart, fibres are softened, coaxed, transformed. The Institute of Making offers a slow dive into the ancient and experimental: paper made not only by hand, but by thought. Japanese techniques mix with modern invention. Itâ€™s method and meditation â€” a six-week whisper from fibre to form.",Stratford,https://www.instituteofmaking.org.uk,,Active
Jacksons Lane,"Haringey's flagship arts venue for 45+ years, empowering diverse communities through circus, contemporary performance, and creative participation.",Highgate,https://www.jacksonslane.org.uk/,,Active
Jazz CafÃ© POSK,A Polish community jazz club where red curtains frame international improvisation and melancholic beauty meets global rhythms.,Hammersmith,https://jazzcafeposk.org/,,Active
Jazzlive at the Crypt,"Beneath St Giles Church, Friday nights dissolve into improvised jazz and candlelight, where every note echoes off stone older than memory.",Camberwell,https://www.jazzlive.co.uk,,Active
Kanpai London â€” Sake Tasting & DIY Sake Brewing,"Beneath Peckham's arches, sake breathes. Kanpai â€” London's first sake brewery â€” pulses with rice and reverence. In the taproom, tastings unfold like poetry: crisp, umami-laced, each sip a glimpse into Japan's soul. For the devoted, there's more â€” a full-day ritual of brewing your own batch. Koji spores, polished grains, steam, and stillness. This is not quick consumption â€” it is a ceremony in yeast and patience.",Peckham,https://kanpailondon.com,,Active
Kelechnekoff Pole Dance Studio,"Founded by Kelechi Okafor, this Peckham studio is fire wrapped in velvet. From the grind of spinning pole to the strut of heels, each class is a space of sensual reclamation. This is where bodies roar, pleasure is political, and every drop of sweat spells power and play.",Peckham,https://www.kelechnekoff.com/timetable,,Active
King's Head Theatre,"London's longest-running pub theatre, now in a purpose-built space celebrating the LGBTQ+ community through plays, cabaret, and drag.",Islington,https://www.kingsheadtheatre.com/,,Active
Kitchen Witchery at Made in Hackney,"Here, the spell is a soup. In this warm Clapton kitchen, herbs are chopped with intention, roots stirred with reverence. Made in Hackney offers plant-based classes where food becomes ritual â€” nourishing body and spirit alike. Itâ€™s everyday magic, honest and edible.",Hackney,https://www.madeinhackney.org/whats-on,,Active
Library Pot,"Tucked along Kew Road, Library Pot is a licensed café where 700 games wait like old friends. Here, Thai green curry shares the table with Catan, kimchi noodles with cooperative quests. The pace is languid, the company warm, and the mahjong leagues fierce with quiet devotion. Sessions stretch long into the evening, fuelled by craft ales and the gentle click of tiles on wood.",Richmond,https://librarypot.uk/,,Active
Liminal 11 â€“ Tarot & Mysticism Events,"From the artists of the Modern Witch tarot comes a rotating carousel of pop-up magic â€” tarot salons, deck releases, live readings. Liminal 11 blends art with archetype, inviting you to draw a card, spark a vision, and play with the symbols that shape the soul.",Various venues across London,https://liminal11.com/events/,,Active
Loading Bar,"A glow-lit lounge of glitch and glee — consoles buzz, dice tumble, and cocktails kiss the dusk in this retro refuge for grown-up play.",Stoke Newington,https://www.loading.bar/,,Active
London Calligraphy,"In the hush of hotel parlours and sunlit studios, London Calligraphy offers a pause in ink. Here, copperplate curves emerge beneath your fingers, guided by the delicate touch of tradition. Itâ€™s a space for stillness, for letters born of breath â€” where a pen becomes an instrument of grace.",Various venues across London (often central hotels and studios),https://londoncalligraphy.com,,Active
